entity_id,period,account_id,department,budget_amount,actual_amount
ent-001,2026-01,acc-7010,Sales,100000.00,45000.00
ent-001,2026-01,acc-7020,Marketing,50000.00,120000.00
ent-001,2026-01,acc-7030,Engineering,200000.00,85000.00
ent-001,2026-01,acc-7040,Operations,75000.00,15000.00
ent-001,2026-01,acc-7050,HR,30000.00,65000.00
ent-001,2026-02,acc-7010,Sales,110000.00,45000.00
ent-001,2026-02,acc-7020,Marketing,55000.00,140000.00
ent-001,2026-02,acc-7030,Engineering,210000.00,80000.00
ent-001,2026-02,acc-7040,Operations,80000.00,10000.00
ent-001,2026-02,acc-7050,HR,32000.00,70000.00
